category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,,,http://www.ebay.com/itm/24pcs-Glitter-Christmas-Balls-Baubles-Tree-Hanging-Ornament-Wedding-Party-Decor/291915121500?hash=item43f77f435c%3Am%3AmTmorg5PGu3_0SyJnQH_rLA&var=,1034 ,24,not_set
,,,,,,,,http://www.ebay.com/itm/100-LED-10M-Christmas-Tree-Fairy-Party-Lights-Xmax-Waterproof-Color/201486517392?hash=item2ee9884490%3Am%3AmN1uMvl5js9_OdUD9C5Es7w&var=,12368 ,100,3.89
,,,,Does Not Apply,,,,http://www.ebay.com/itm/Mini-Christmas-Tree-Festival-Home-Office-Party-Ornaments-Xmas-Decoration-Gift/291912543792?epid=1594781782&hash=item43f757ee30%3Am%3Am5AiEQXbk31uuREwZ95PAmw&var=,571 ,291912543792,0.99
,,,,,,,,http://www.ebay.com/itm/HOT-Christmas-Santa-Cutlery-Tableware-Holder-Bag-Cover-Dinner-Xmas-Party-Decor/332025101041?hash=item4d4e3cfaf1%3Am%3AmZr12D_JNCflk0L07cTWsfg&var=,106 ,332025101041,C $1.09
,,,,,,,,http://www.ebay.com/itm/Red-Wine-Bottle-Cover-Bags-Snowman-Santa-Claus-Christmas-Decoration-Sequins/252724106403?hash=item3ad787d4a3%3Am%3AmCzoifNi_ML2eI-J4JOCJiw&var=,4 ,252724106403,not_set
,,,,,Unbranded,,,http://www.ebay.com/itm/48PCS-Christmas-Tree-Xmas-Balls-Decorations-Baubles-Party-Wedding-Ornament-3cm/201699293817?hash=item2ef636fa79%3Am%3AmVvagkLk_Zi1nPdmoMeT-ug&var=,1705 ,48,C $2.10
,,,,,Unbranded/Generic,,,http://www.ebay.com/itm/24-Pcs-Bowknot-Ornament-Party-Hanging-Decoration-Christmas-Tree-Decor-Wedding/332009060271?hash=item4d4d4837af%3Am%3AmxxVZn2AmqyuKsUjox9K3pg&var=,598 ,24,C $0.99
,,,,Does not apply,,,,http://www.ebay.com/itm/10-5Pcs-Mini-Christmas-Tree-Festival-Home-Party-Ornaments-Xmas-Decoration-Gift/232090780295?hash=item3609b04287%3Am%3AmKmj_DPKxCvo4ApXFjoFoNQ&var=,213 ,10,0.99
,,,,Does not apply,,,,http://www.ebay.com/itm/Christmas-Santa-Socks-Cute-Ornaments-Festival-Party-Xmas-Tree-Hanging-Decoration/252563817954?hash=item3acdfa05e2%3Am%3AmpRu9wulqw1FfMvxjg9fhrQ&var=,987 ,252563817954,C $0.99
,,,,,,Does not apply,18,http://www.ebay.com/itm/Christmas-Cute-Tableware-Ornaments-Snowman-Holiday-Party-Home-Decor-Santa-Xmas/362081956967?hash=item544dc43467%3Ag%3AkfoAAOSwsvhZk-No,111 ,362081956967,2.49
,,,,,,Does not apply,,http://www.ebay.com/itm/20pcs-Christmas-Snowflakes-Ornaments-Festival-Party-Xmas-Tree-Decor/322655209040?epid=2222173832&hash=item4b1fbfc650%3Ag%3AvO0AAOSw-0xYPns6,119 ,20,1.54
,,,,,,,,http://www.ebay.com/itm/Christmas-Tree-Decor-Candy-Bag-Ornaments-Xmas-Decor-Santa-Claus-Party-Decor/152257644126?hash=item237343465e%3Am%3AmkR4eo0dzYU2G4pfPO6oORA&var=,984 ,152257644126,2.18
,,,,,,,,http://www.ebay.com/itm/Xmas-Tree-Santa-Claus-Snowman-Hanging-Ornament-Christmas-Home-Party-Decoration/311726818829?hash=item48945dc60d%3Am%3AmlwD2wE-2SXoSwYaIFNSePg&var=,492 ,311726818829,C $2.95
,,,,,,,,http://www.ebay.com/itm/Christmas-Wine-Bottle-Cover-Clothes-Xmas-Santa-Reindeer-Table-Bottle-Decor-Party/311944664705?hash=item48a159d681%3Am%3Amz3KMKhvs9RqKx3E6emPoPw&var=,150 ,311944664705,1.39
,,,,,,,,http://www.ebay.com/itm/Christmas-Gift-Santa-Claus-Snowman-Ornament-Festival-Party-Xmas-Table-Decor-New/112345670004?hash=item1a2852e174%3Am%3AmnpskYQ36RSHiAL4YL0aA4g&var=,175 ,112345670004,not_set
