category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
43533,,,,,,Does not apply,,http://www.ebay.com/itm/Pirate-Sugar-Skull-Crossbones-Flag-3x5-Mexican-Day-of-the-Dead-Mexico-Halloween-/150656137147?hash=item2313ce37bb:m:mWxXeN_3-KXR8cQpWcLzXLw,101 ,150656137147,8.69
170094,,,,,,Does not apply,"[{'date': '2017-09-16 19:44:09', 'ebayID': '5', 'price': 9.59, 'quantity': u'1'}, {'date': '2017-08-31 15:26:24', 'ebayID': '5', 'price': 8.49, 'quantity': u'3'}, {'date': '2017-08-28 14:50:35', 'ebayID': '5', 'price': 8.49, 'quantity': u'6'}, {'date': '2017-08-27 16:18:52', 'ebayID': '5', 'price': 8.49, 'quantity': u'1'}]",http://www.ebay.com/itm/5x3ft-Halloween-Bunting-Pumpkin-Flag-/251323276694?epid=1931904156&hash=item3a8408dd96:g:4VAAAOSw8KNW~T1N,159 ,5,9.59
13640,,,,,,,"[{'date': '2017-09-14 14:21:13',
 'ebayID': '301881036532',
 'price': 50.91,
 'quantity': u'1'}, {'date': '2017-09-13 07:39:13',
 'ebayID': '301881036532',
 'price': 50.91,
 'quantity': u'1'}, {'date': '2017-08-31 14:27:33',
 'ebayID': '301881036532',
 'price': 50.91,
 'quantity': u'1'}, {'date': '2017-07-23 11:10:13',
 'ebayID': '301881036532',
 'price': 50.91,
 'quantity': u'1'}, {'date': '2017-06-22 08:30:30',
 'ebayID': '301881036532',
 'price': 50.91,
 'quantity': u'1'}, {'date': '2017-06-08 14:51:38',
 'ebayID': '301881036532',
 'price': 50.91,
 'quantity': u'1'}]",http://www.ebay.com/itm/Gargoyle-Gargouille-Statue-Home-Patio-Halloween-Decor-Gothic-Statuary-Sculpture-/301881036532?hash=item4649830ef4:g:mQoAAOSwHjNWCDEy,16 ,301881036532,50.91
43533,,,,,,does not apply,"[{'date': '2017-06-19 12:57:09',
 'ebayID': '29',
 'price': 24.95,
 'quantity': u'1'}, {'date': '2017-06-19 12:23:19',
 'ebayID': '29',
 'price': 24.95,
 'quantity': u'1'}]",http://www.ebay.com/itm/29x43-Inch-Lot-Set-Of-4-Large-Flags-Snowman-Halloween-Welcome-Friends-/150967327954?hash=item23265a9cd2:m:mE7haKgZp-6h2repNmO-QWw,18 ,29,24.95
85916,,,,united states,,,,http://www.ebay.com/itm/lg-25-min-burn-wax-and-wood-fire-starters-handmade-recycled-scented-unscented-/251650889993?var=&hash=item3a978fd909:m:mv17L6SiFmBWApBmKuni7Gw,54 ,251650889993,1.25
183394,,,,,,,,http://www.ebay.com/itm/60-LEDs-String-Light-Solar-Powered-Fairy-Tree-Light-Wedding-Xmas-Halloween-Party-/141160886404?var=&epid=2240786579&hash=item20ddd83084:m:mFkcLuGB3Er5EsdADxEwkUw,1102 ,60,7.57
2034,,,,,,Does not apply,"[{'date': '2017-08-09 13:45:18',
 'ebayID': '371423432012',
 'price': 12.95,
 'quantity': u'1'}, {'date': '2017-06-03 15:23:34',
 'ebayID': '371423432012',
 'price': 12.95,
 'quantity': u'2'}]",http://www.ebay.com/itm/MINIATURE-GARDEN-FAIRY-WITCH-BOO-C-W-PICK-HALLOWEEN-FALL-AUTUMN-NEW-/371423432012?hash=item567a8fcd4c:g:~EkAAOSw0JpV359H,25 ,371423432012,12.95
29511,,,,,,Does not apply,"[{'date': '2017-06-30 21:00:11',
 'ebayID': '380471797525',
 'price': 19.75,
 'quantity': u'1'}]",http://www.ebay.com/itm/gross-scary-Zombie-EVIL-Gnome-goth-skull-Halloween-prop-yard-Statue-decor-gag-/380471797525?hash=item5895e2e715:m:mP_o8cj4fN_mPm7v62sopeA,27 ,380471797525,19.75
43533,,,,,,Does not apply,"[{'date': '2016-03-28 10:59:35',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2015-10-25 19:05:16',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2015-10-18 10:42:36',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2015-09-30 06:40:59',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2015-09-26 13:09:24',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2015-09-24 17:09:26',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2015-08-31 08:28:57',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2014-09-13 16:15:27',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2012-10-06 12:52:24',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2012-09-29 15:20:36',
 'ebayID': '310125270149',
 'price': 8.45,
 'quantity': u'1'}, {'date': '2011-10-17 09:53:56',
 'ebayID': '310125270149',
 'price': 7.95,
 'quantity': u'1'}, {'date': '2011-10-10 12:11:23',
 'ebayID': '310125270149',
 'price': 6.36,
 'quantity': u'4'}, {'date': '2011-09-23 11:36:50',
 'ebayID': '310125270149',
 'price': 7.95,
 'quantity': u'1'}, {'date': '2011-09-08 17:05:31',
 'ebayID': '310125270149',
 'price': 7.95,
 'quantity': u'1'}, {'date': '2011-09-08 06:35:36',
 'ebayID': '310125270149',
 'price': 7.95,
 'quantity': u'1'}, {'date': '2011-03-14 15:55:41',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2011-02-15 10:43:35',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2010-11-01 00:47:14',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2010-10-14 17:26:27',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2010-07-15 12:48:00',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2010-04-14 09:46:28',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2010-03-11 06:58:55',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2010-03-06 18:15:09',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'2'}, {'date': '2010-01-02 13:28:31',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2009-10-20 15:08:00',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2009-09-11 16:37:00',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'2'}, {'date': '2009-07-30 15:57:46',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2009-07-19 17:05:19',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2009-04-08 09:35:35',
 'ebayID': '310125270149',
 'price': 4.75,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-WITCH-3X5-FLAG-NEW-HALLOWEEN-BROOMSTICK-NIGHT-FLYING-WITCH-3X5-BIG-/310125270149?hash=item4834e81485:g:O5QAAOSwU9xUOXkV,34 ,310125270149,8.45
116022,,,,,,,,http://www.ebay.com/itm/100-LEDs-String-Light-Solar-Powered-Fairy-Tree-Light-Holiday-Halloween-Decor-/191028995887?var=&hash=item2c7a37272f:m:mMLvQ9dwdScBqcimwOkhVNA,2097 ,100,10.90
